world_cup_year,home_team,away_team,home_goals,away_goals,match_outcome,goal_diff,home_host_advantage,home_strength,away_strength,stage,home_recent_form,away_recent_form,home_h2h,away_h2h
1954,Czech Republic,Uruguay,0,2,A,-2,0,0.5714285714285714,0.875,1,0.5,0.8333333333333334,0,0
1954,France,Serbia,0,1,A,-1,0,0.3333333333333333,0.6666666666666666,1,0.3333333333333333,0.6666666666666666,0,0
1954,Belgium,England,4,4,D,0,0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,0,0
1954,Germany,Turkey,4,1,H,3,0,0.5,0.5,1,0.5,0.5,0,0
1954,Hungary,South Korea,9,0,H,9,0,0.6666666666666666,0.5,2,0.6666666666666666,0.5,0,0
1954,Switzerland,Italy,2,1,H,1,1,0.375,0.8181818181818182,1,0.5,0.6666666666666666,0,0
1954,Austria,Czech Republic,5,0,H,5,0,0.6,0.5,2,0.3333333333333333,0.16666666666666666,0,0
1954,Brazil,Serbia,1,1,D,0,0,0.6,0.7142857142857143,1,0.6666666666666666,0.6666666666666666,1,1
1954,France,Mexico,3,2,H,1,0,0.2857142857142857,0.0,1,0.3333333333333333,0.0,1,0
1954,Scotland,Uruguay,0,7,A,-7,0,0.0,0.8888888888888888,2,0.3333333333333333,1.0,0,0
1954,Belgium,Italy,1,4,A,-3,0,0.0,0.75,1,0.16666666666666666,0.3333333333333333,0,0
1954,Germany,Hungary,3,8,A,-5,0,0.5714285714285714,0.7142857142857143,2,0.5,0.6666666666666666,0,0
1954,South Korea,Turkey,0,7,A,-7,0,0.0,0.0,2,0.3333333333333333,0.3333333333333333,0,0
1954,Switzerland,England,0,2,A,-2,1,0.4444444444444444,0.25,1,0.8333333333333334,0.16666666666666666,0,0
1954,Germany,Turkey,7,2,H,5,0,0.5,0.5,2,0.3333333333333333,0.5,1,0
1954,Switzerland,Italy,4,1,H,3,1,0.4,0.7692307692307693,1,0.6666666666666666,0.6666666666666666,1,0
1954,England,Uruguay,2,4,A,-2,0,0.4,0.9,1,0.5,1.0,0,0
1954,Switzerland,Austria,5,7,A,-2,1,0.4545454545454545,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,0,0
1954,Brazil,Hungary,2,4,A,-2,0,0.5625,0.75,1,0.5,0.6666666666666666,0,0
1954,Germany,Serbia,2,0,H,2,0,0.5555555555555556,0.625,1,0.6666666666666666,0.5,0,0
1954,Austria,Germany,1,6,A,-5,0,0.7142857142857143,0.6,2,1.0,0.6666666666666666,0,1
1954,Hungary,Uruguay,4,2,H,2,0,0.7777777777777778,0.9090909090909092,1,1.0,1.0,0,0
1954,Austria,Uruguay,3,1,H,2,0,0.625,0.8333333333333334,1,0.6666666666666666,0.6666666666666666,0,0
1954,Germany,Hungary,3,2,H,1,0,0.6363636363636364,0.8,1,1.0,1.0,0,1
1958,Argentina,Germany,1,3,A,-2,0,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,1.0,0,0
1958,Austria,Brazil,0,3,A,-3,0,0.6666666666666666,0.5294117647058824,1,0.6666666666666666,0.5,0,0
1958,Czech Republic,Northern Ireland,0,1,A,-1,0,0.4444444444444444,0.5,1,0.0,0.5,0,0
1958,England,Russia,2,2,D,0,0,0.3333333333333333,0.5,1,0.5,0.5,0,0
